H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202601,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260102B03,落札件数（電源属地別）[件],3,6,32,5,2,10,6,5,7,76
20260102B03,最高落札価格（電源属地別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260102B03,最低落札価格（電源属地別）[円/kW・30分],4.49,1.39,0.36,19.47,0.35,0.83,0.36,0.36,0.36,0.35
20260102B03,平均落札価格（電源属地別）[円/kW・30分],8.87,2.38,2.1,19.49,0.37,4.81,0.94,1.71,0.81,2.5
20260102B03,最高落札価格（TSO別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260102B03,最低落札価格（TSO別）[円/kW・30分],4.49,0.36,0.36,19.47,0.35,0.36,0.36,0.35,0.36,0.35
20260102B03,平均落札価格（TSO別）[円/kW・30分],8.87,2.01,2.75,19.49,0.37,4.72,0.97,1.9,0.81,2.5
20260102B03,落札量合計（TSO別）[MW],58,818.52,407.895,9.717,131,528.518,330.881,136.93,314.342,2735.803
20260102B03,（内訳）自エリアからの落札量[MW],58,666.52,407.895,9.717,131,506.963,290.01,109.93,314.342,2494.377
20260102B04,募集量（TSO別）[MW],79,243,476,461,238,566,458,279,432,3232
20260102B04,応札量合計（電源属地別）[MW],277.99,285.17,1109.08,11.707,238,1239.931,286.066,290.93,520.17,4259.044
20260102B04,落札量合計（電源属地別）[MW],79,285.17,395.415,11.707,238,653.381,239.65,290.93,305.17,2498.423
20260102B04,応札件数（電源属地別）[件],7,3,39,6,2,11,7,4,10,89
20260102B04,落札件数（電源属地別）[件],7,3,33,6,2,10,7,4,9,81
20260102B04,最高落札価格（電源属地別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260102B04,最低落札価格（電源属地別）[円/kW・30分],3.97,1.43,0.34,19.47,0.35,0.36,0.36,0.36,0.36,0.34
20260102B04,平均落札価格（電源属地別）[円/kW・30分],9.85,2.26,2.55,19.49,0.35,3.76,0.59,1.31,1.06,2.42
20260102B04,最高落札価格（TSO別）[円/kW・30分],19.51,17.54,19.51,19.51,0.35,19.51,19.51,19.5,19.51,19.51
20260102B04,最低落札価格（TSO別）[円/kW・30分],3.97,1.43,0.34,19.47,0.35,0.36,0.36,0.36,0.36,0.34
20260102B04,平均落札価格（TSO別）[円/kW・30分],9.85,3.17,2.25,19.49,0.35,3.77,1.15,1.53,1.06,2.42
20260102B04,落札量合計（TSO別）[MW],79,135.17,545.415,11.707,238,582.231,363.8,237.93,305.17,2498.423
20260102B04,（内訳）自エリアからの落札量[MW],79,135.17,395.415,11.707,238,568.895,217.314,222.93,305.17,2173.601
20260102B05,募集量（TSO別）[MW],51,167,359,130,204,389,273,286,455,2314
20260102B05,応札量合計（電源属地別）[MW],273,286.52,218.315,7.718,204,1235.973,286.066,297.93,520.17,3329.692
20260102B05,落札量合計（電源属地別）[MW],51,286.52,76.615,0,204,417.986,201.087,216.93,330.17,1784.308
20260102B05,応札件数（電源属地別）[件],6,4,30,4,2,9,7,4,10,76
20260102B05,落札件数（電源属地別）[件],3,4,28,0,2,8,7,4,10,66
20260102B05,最高落札価格（電源属地別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260102B05,最低落札価格（電源属地別）[円/kW・30分],2.9,1.42,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260102B05,平均落札価格（電源属地別）[円/kW・30分],4.61,2.32,11.05,0,0.35,5.38,0.63,1.57,1.03,2.73
20260102B05,最高落札価格（TSO別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260102B05,最低落札価格（TSO別）[円/kW・30分],2.9,1.42,0.36,0,0.35,0.35,0.36,0.36,0.36,0.35
20260102B05,平均落札価格（TSO別）[円/kW・30分],4.61,3.37,4.62,0,0.35,6.58,0.65,1.43,0.96,2.73
20260102B05,落札量合計（TSO別）[MW],51,132.52,230.615,0,195,335.273,224.8,249.93,365.17,1784.308
20260102B05,（内訳）自エリアからの落札量[MW],51,132.52,76.615,0,195,326.273,166.087,216.93,330.17,1494.595
20260102B06,募集量（TSO別）[MW],68,610,637,534,143,552,344,190,388,3466
20260102B06,応札量合計（電源属地別）[MW],296.99,858.02,1459.271,231.208,143,1239.931,265.336,216.93,520.17,5230.856
20260102B06,落札量合計（電源属地別）[MW],68,856.52,327.415,94.708,143,574.08,219.475,216.93,268.17,2768.298
20260102B06,応札件数（電源属地別）[件],6,8,41,7,1,11,6,6,10,96
20260102B06,落札件数（電源属地別）[件],3,7,32,6,1,10,6,6,9,80
20260102B06,最高落札価格（電源属地別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260102B06,最低落札価格（電源属地別）[円/kW・30分],3.91,1.43,0.36,1.1,0.77,0.57,0.36,0.36,0.36,0.36
20260102B06,平均落札価格（電源属地別）[円/kW・30分],6.69,2.55,3.25,2.98,0.77,3.87,0.8,1.02,1.16,2.54
20260102B06,最高落札価格（TSO別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260102B06,最低落札価格（TSO別）[円/kW・30分],3.91,1.43,0.36,1.1,0.77,0.36,0.36,0.36,0.36,0.36
20260102B06,平均落札価格（TSO別）[円/kW・30分],6.69,2.73,2.76,2.98,0.77,4.21,0.99,1.19,1.17,2.54
20260102B06,落札量合計（TSO別）[MW],68,718.52,465.415,94.708,140,488.231,326.881,180.373,286.17,2768.298
20260102B06,（内訳）自エリアからの落札量[MW],68,718.52,327.415,94.708,140,453.367,219.475,149.373,268.17,2439.028
20260102B07,募集量（TSO別）[MW],38,381,464,278,124,428,349,102,249,2413
20260102B07,応札量合計（電源属地別）[MW],281.99,406.52,1964.472,677.629,124,1239.931,469.71,113.93,577.74,5855.922
20260102B07,落札量合計（電源属地別）[MW],38,406.52,1075.54,465.717,124,392.511,352.314,113.93,169.74,3138.272
20260102B07,応札件数（電源属地別）[件],6,5,47,10,1,11,9,7,10,106
20260102B07,落札件数（電源属地別）[件],2,5,38,9,1,10,8,7,8,88
20260102B07,最高落札価格（電源属地別）[円/kW・30分],7.99,19.51,19.51,19.51,1.39,19.51,19.49,19,19.51,19.51
20260102B07,最低落札価格（電源属地別）[円/kW・30分],3.17,1.43,0.36,2.68,1.39,0.78,0.49,0.36,0.36,0.36
20260102B07,平均落札価格（電源属地別）[円/kW・30分],4.06,3.25,3.16,3.14,1.39,5.14,1,1.74,1.47,2.97
20260102B07,最高落札価格（TSO別）[円/kW・30分],7.99,19.51,19.51,19.51,1.39,19.51,19.49,19,19.51,19.51
20260102B07,最低落札価格（TSO別）[円/kW・30分],3.17,1.43,0.36,2.68,1.39,0.49,0.36,0.36,0.36,0.36
20260102B07,平均落札価格（TSO別）[円/kW・30分],4.06,3.26,3.16,3.14,1.39,4.71,1,1.01,1.9,2.97
20260102B07,落札量合計（TSO別）[MW],38,428.52,1053.54,465.717,112,427.955,282.8,102,227.74,3138.272
20260102B07,（内訳）自エリアからの落札量[MW],38,406.52,1053.54,465.717,112,377.522,260.881,92,169.74,2975.92
20260102B08,募集量（TSO別）[MW],47,152,398,231,125,303,232,93,256,1837
20260102B08,応札量合計（電源属地別）[MW],296.64,216.52,683.279,491.707,125,1239.931,335.871,103,481.418,3973.366
20260102B08,落札量合計（電源属地別）[MW],47,216.52,541.579,472.707,125,360.144,169.901,62,155.418,2150.269
20260102B08,応札件数（電源属地別）[件],7,4,23,11,1,11,6,5,8,76
20260102B08,落札件数（電源属地別）[件],3,4,21,10,1,10,5,4,7,65
20260102B08,最高落札価格（電源属地別）[円/kW・30分],9.99,19.51,19.51,19.51,0.8,19.51,19.49,6.73,19.51,19.51
20260102B08,最低落札価格（電源属地別）[円/kW・30分],3.64,1.43,0.36,2.37,0.8,0.36,0.36,0.4,0.36,0.36
20260102B08,平均落札価格（電源属地別）[円/kW・30分],5.76,4,3.03,2.96,0.8,5.47,1.08,1.95,1.21,3.13
20260102B08,最高落札価格（TSO別）[円/kW・30分],9.99,19.51,19.51,19.51,0.8,19.51,19.49,8.78,19.51,19.51
20260102B08,最低落札価格（TSO別）[円/kW・30分],3.64,1.43,0.36,2.37,0.8,0.36,0.36,0.4,0.36,0.36
20260102B08,平均落札価格（TSO別）[円/kW・30分],5.76,4,3.03,2.97,0.8,5.27,1.05,2.63,1.68,3.13
20260102B08,落札量合計（TSO別）[MW],47,216.52,541.579,460.927,108,338.944,158.881,93,185.418,2150.269
20260102B08,（内訳）自エリアからの落札量[MW],47,216.52,541.579,460.927,108,338.944,155.881,59,155.418,2083.269
20260103B01,募集量（TSO別）[MW],24,237,283,11,81,216,212,76,227,1367
20260103B01,応札量合計（電源属地別）[MW],33,392.02,498.559,267.859,81,1055.025,209.376,89.473,487.342,3113.654
20260103B01,落札量合計（電源属地別）[MW],24,392.02,159.549,251.884,81,359.241,130.046,62.473,70.342,1530.555
20260103B01,応札件数（電源属地別）[件],3,4,23,7,1,6,4,6,9,63
20260103B01,落札件数（電源属地別）[件],3,4,22,7,1,6,4,5,8,60
20260103B01,最高落札価格（電源属地別）[円/kW・30分],4.5,19.51,19.51,19.51,0.47,7.8,2.01,19,19.51,19.51
20260103B01,最低落札価格（電源属地別）[円/kW・30分],4.49,1.43,0.35,1.14,0.47,0.36,0.63,0.41,0.36,0.35
20260103B01,平均落札価格（電源属地別）[円/kW・30分],4.5,2.29,4.59,1.79,0.47,4.7,1.6,3.6,2.82,2.97
20260103B01,最高落札価格（TSO別）[円/kW・30分],4.5,19.51,19.51,1.66,0.47,7.8,19.51,8.25,19.51,19.51
