H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,複合商品,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B10,落札量合計（電源属地別）[MW],42.2,224.35,886.483,133.941,96,5.956,292,94,366,2140.93
20260314B10,応札件数（電源属地別）[件],7,4,50,22,1,3,10,7,14,118
20260314B10,落札件数（電源属地別）[件],7,4,40,5,1,3,5,4,8,77
20260314B10,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.18,2.21,15,6.18,4.78,6.31,15
20260314B10,最低落札価格（電源属地別）[円/kW・30分],2.5,1.31,0.36,0.5,2.21,15,1.17,0.35,4.29,0.35
20260314B10,平均落札価格（電源属地別）[円/kW・30分],4.19,1.66,1.71,0.96,2.21,15,3.51,0.96,5.28,2.59
20260314B10,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.18,2.21,15,6.18,4.78,6.31,15
20260314B10,最低落札価格（TSO別）[円/kW・30分],2.5,1.31,0.36,0.5,2.21,15,1.17,0.35,4.29,0.35
20260314B10,平均落札価格（TSO別）[円/kW・30分],4.19,1.66,1.71,0.96,2.21,15,3.51,0.96,5.28,2.59
20260314B10,落札量合計（TSO別）[MW],42.2,224.35,886.483,133.941,96,5.956,292,94,366,2140.93
20260314B10,（内訳）自エリアからの落札量[MW],42.2,224.35,886.483,133.941,96,5.956,292,94,366,2140.93
20260314B11,募集量（TSO別）[MW],65,343,459,112,109,528,292,94,389,2391
20260314B11,応札量合計（電源属地別）[MW],46.058,631.35,1946.443,411.73,148.64,5.956,426.992,157.473,399.75,4174.392
20260314B11,落札量合計（電源属地別）[MW],35.15,224.35,841.062,135.166,96,5.956,292,94,389,2112.684
20260314B11,応札件数（電源属地別）[件],7,4,47,19,1,3,10,7,13,111
20260314B11,落札件数（電源属地別）[件],7,4,38,3,1,3,5,4,7,72
20260314B11,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.65,2.46,15,5.65,4.78,6.7,15
20260314B11,最低落札価格（電源属地別）[円/kW・30分],2.5,1.12,0.36,0.63,2.46,15,1.45,0.35,4.57,0.35
20260314B11,平均落札価格（電源属地別）[円/kW・30分],4.12,1.5,4.71,0.87,2.46,15,3.73,0.96,5.71,3.92
20260314B11,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.65,2.46,15,5.65,4.78,6.7,15
20260314B11,最低落札価格（TSO別）[円/kW・30分],2.5,1.12,0.36,0.63,2.46,15,1.45,0.35,4.57,0.35
20260314B11,平均落札価格（TSO別）[円/kW・30分],4.12,1.5,4.71,0.87,2.46,15,3.73,0.96,5.71,3.92
20260314B11,落札量合計（TSO別）[MW],35.15,224.35,841.062,135.166,96,5.956,292,94,389,2112.684
20260314B11,（内訳）自エリアからの落札量[MW],35.15,224.35,841.062,135.166,96,5.956,292,94,389,2112.684
20260314B12,募集量（TSO別）[MW],65,343,459,112,109,528,292,94,389,2391
20260314B12,応札量合計（電源属地別）[MW],36.558,631.35,1793.291,527.022,229.292,36.864,426.992,157.473,399.75,4238.592
20260314B12,落札量合計（電源属地別）[MW],25.65,224.35,690.261,193,100,36.864,292,94,389,2045.125
20260314B12,応札件数（電源属地別）[件],6,4,49,22,2,4,10,7,13,117
20260314B12,落札件数（電源属地別）[件],6,4,39,4,2,4,5,4,7,75
20260314B12,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,2.96,4.43,15,5.4,4.78,6.83,15
20260314B12,最低落札価格（電源属地別）[円/kW・30分],2.5,1.01,0.36,0.47,2.6,1.27,1.58,0.35,4.7,0.35
20260314B12,平均落札価格（電源属地別）[円/kW・30分],3.97,1.41,2.17,0.54,2.95,3.49,3.85,0.96,6.13,2.95
20260314B12,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,2.96,4.43,15,5.4,4.78,6.83,15
20260314B12,最低落札価格（TSO別）[円/kW・30分],2.5,1.01,0.36,0.47,2.6,1.27,1.58,0.35,4.7,0.35
20260314B12,平均落札価格（TSO別）[円/kW・30分],3.97,1.41,2.17,0.54,2.95,3.49,3.85,0.96,6.13,2.95
20260314B12,落札量合計（TSO別）[MW],25.65,224.35,690.261,193,100,36.864,292,94,389,2045.125
20260314B12,（内訳）自エリアからの落札量[MW],25.65,224.35,690.261,193,100,36.864,292,94,389,2045.125
20260314B13,募集量（TSO別）[MW],109,480,532,220,145,652,391,137,480,3146
20260314B13,応札量合計（電源属地別）[MW],52.918,631.35,1386.748,381.796,0,7.826,426.992,200.473,489.25,3577.353
20260314B13,落札量合計（電源属地別）[MW],44,249.35,968.156,224.585,0,7.826,391,137,466.25,2488.167
20260314B13,応札件数（電源属地別）[件],6,4,41,18,0,4,10,7,13,103
20260314B13,落札件数（電源属地別）[件],6,4,37,6,0,4,6,4,13,80
