H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202602,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260201B05,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0.36,2.23,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B05,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0.36,2.23,0.36,0,0.35,6.67,0.46,5.53,0.36,3.04
20260201B05,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0.37,2.23,0.36,0,0.35,12.31,0.56,15.71,0.38,15.71
20260201B05,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0.36,2.23,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260201B05,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0.36,2.23,0.36,0,0.35,6.45,0.46,6.68,0.36,3.04
20260201B05,合計（確報値）,約定量合計（TSO別）[MW],41,99,38.7,0,140,392.713,199.734,133,237,1281.147
20260201B05,合計（確報値）,（内訳）自エリアからの約定量[MW],41,99,38.7,0,140,392.713,199.734,77,237,1225.147
20260201B06,システム約定結果,募集量（TSO別）[MW],5,141,9,259,43,146,233,108,172,1116
20260201B06,システム約定結果,応札量合計（電源属地別）[MW],177.99,188,711.099,0,131,703.404,304.51,108,303,2627.003
20260201B06,システム約定結果,落札量合計（電源属地別）[MW],31,187,711.099,0,131,558.424,189.208,108,203,2118.731
20260201B06,システム約定結果,応札件数（電源属地別）[件],5,2,10,0,2,7,7,5,6,44
20260201B06,システム約定結果,落札件数（電源属地別）[件],1,2,10,0,2,6,7,5,3,36
20260201B06,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0.36,1.89,5.27,0,1.81,8.7,2.31,6.83,1.45,8.7
20260201B06,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0.36,1.51,0.36,0,1.8,0.36,0.65,0.36,1.04,0.36
20260201B06,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0.36,1.69,2.51,0,1.81,4.11,1.5,1.8,1.31,2.54
20260201B06,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0.36,1.89,5.27,5.01,1.81,8.7,2.31,6.83,1.45,8.7
20260201B06,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0.36,1.51,0.36,0.36,1.8,0.36,0.36,0.36,1.04,0.36
20260201B06,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0.36,1.69,3.61,0.61,1.81,4.6,1.31,1.53,1.31,2.54
20260201B06,システム約定結果,落札量合計（TSO別）[MW],31,187,452.099,259,131,493.632,233,129,203,2118.731
20260201B06,システム約定結果,（内訳）自エリアからの落札量[MW],31,187,452.099,0,131,493.632,189.208,103,203,1789.939
20260201B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
