H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202510,複合商品,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251001B03,合計（確報値）,約定量合計（TSO別）[MW],114.29,803.958,606.505,0,116,228.069,235.881,167,199.519,2471.222
20251001B03,合計（確報値）,（内訳）自エリアからの約定量[MW],114.29,559.069,382.039,0,116,104.757,201.173,131.455,192.519,1801.302
20251001B04,システム約定結果,募集量（TSO別）[MW],83,494,1529,0,188,404,542,243,611,4094
20251001B04,システム約定結果,応札量合計（電源属地別）[MW],218.19,550,1491.89,1.92,188,164.6,362.647,273,644.425,3894.672
20251001B04,システム約定結果,落札量合計（電源属地別）[MW],114.29,550,1491.89,1.92,188,164.6,362.647,241,608.294,3722.641
20251001B04,システム約定結果,応札件数（電源属地別）[件],5,3,19,1,2,2,6,5,18,61
20251001B04,システム約定結果,落札件数（電源属地別）[件],4,3,19,1,2,2,6,5,16,58
20251001B04,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.49,4.04,19.5,19.51,2.61,5.76,1.94,5.5,19.51,19.51
20251001B04,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.35,2.48,0.36,19.51,2.5,4.93,0.36,0.36,0.36,0.36
20251001B04,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],13.99,3.21,2.18,19.51,2.54,5.3,0.76,1.25,2.49,2.71
20251001B04,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.49,19.49,19.5,0,2.61,19.51,1.94,5.5,19.51,19.51
20251001B04,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.48,0.36,0.36,0,0.52,0.52,0.36,0.36,0.36,0.36
20251001B04,システム約定結果,平均落札価格（TSO別）[円/kW・30分],13.32,3.14,2.23,0,2.45,4.54,0.82,1.25,2.67,2.71
20251001B04,システム約定結果,落札量合計（TSO別）[MW],116.3,580.8,1459.08,0,178,213.52,388.496,241,545.445,3722.641
20251001B04,システム約定結果,（内訳）自エリアからの落札量[MW],111.1,544.8,1459.08,0,170,164.6,325.647,241,545.445,3561.672
20251001B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B04,合計（確報値）,募集量（TSO別）[MW],83,494,1529,0,188,404,542,243,611,4094
20251001B04,合計（確報値）,応札量合計（電源属地別）[MW],218.19,700,1567.99,1.92,188,164.6,362.647,273,1006.725,4483.072
20251001B04,合計（確報値）,約定量合計（電源属地別）[MW],114.29,550,1491.89,1.92,188,164.6,362.647,241,605.681,3720.028
20251001B04,合計（確報値）,応札件数（電源属地別）[件],5,6,22,1,2,2,6,5,28,77
20251001B04,合計（確報値）,約定件数（電源属地別）[件],4,5,21,1,2,2,6,5,20,66
20251001B04,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.49,4.04,19.5,19.51,2.61,5.76,1.94,5.5,19.51,19.51
20251001B04,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.35,2.48,0.36,19.51,2.5,4.93,0.36,0.36,0.36,0.36
20251001B04,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],13.99,3.19,2.18,19.51,2.54,5.3,0.76,1.25,1.68,2.58
20251001B04,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.49,19.49,19.5,0,2.61,19.51,1.94,5.5,19.51,19.51
20251001B04,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],2.48,0.36,0.36,0,0.52,0.52,0.36,0.36,0.36,0.36
20251001B04,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],13.32,3.13,2.22,0,2.45,4.54,0.82,1.25,1.76,2.58
20251001B04,合計（確報値）,約定量合計（TSO別）[MW],116.3,580.8,1459.08,0,178,213.52,388.496,241,542.832,3720.028
20251001B04,合計（確報値）,（内訳）自エリアからの約定量[MW],111.1,544.8,1459.08,0,170,164.6,325.647,241,542.832,3559.059
20251001B05,システム約定結果,募集量（TSO別）[MW],46,731,1539,87,194,244,446,244,611,4142
20251001B05,システム約定結果,応札量合計（電源属地別）[MW],166,559.069,1592.206,1.92,194,216.077,242.775,274,636.631,3882.678
20251001B05,システム約定結果,落札量合計（電源属地別）[MW],64,559.069,1592.206,1.92,194,216.077,242.775,224,547.04,3641.087
20251001B05,システム約定結果,応札件数（電源属地別）[件],2,4,20,1,2,5,6,4,13,57
20251001B05,システム約定結果,落札件数（電源属地別）[件],2,4,20,1,2,5,6,4,13,57
20251001B05,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.49,16.47,19.51,19.51,4.31,16.9,19.51,0.77,19.51,19.51
20251001B05,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.72,1.98,0.36,19.51,4.2,1.09,0.36,0.36,0.36,0.36
20251001B05,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],10.88,2.98,2.32,19.51,4.24,4.69,1.04,0.47,2.51,2.65
20251001B05,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.49,19.49,19.51,16.9,4.31,19.51,19.51,0.77,19.51,19.51
20251001B05,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.72,0.36,0.36,0.36,4.2,1.09,0.36,0.36,0.36,0.36
20251001B05,システム約定結果,平均落札価格（TSO別）[円/kW・30分],10.72,2.28,2.64,4.91,4.24,4.3,1.22,0.47,2.67,2.65
20251001B05,システム約定結果,落札量合計（TSO別）[MW],62.8,775.069,1365.406,87,180,147.397,316.784,224,482.631,3641.087
20251001B05,システム約定結果,（内訳）自エリアからの落札量[MW],62.8,559.069,1365.406,0,180,145.477,242.775,224,482.631,3262.158
20251001B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B05,合計（確報値）,募集量（TSO別）[MW],46,731,1539,87,194,244,446,244,611,4142
20251001B05,合計（確報値）,応札量合計（電源属地別）[MW],166,559.069,1668.306,1.92,194,216.077,242.775,274,1033.931,4356.078
20251001B05,合計（確報値）,約定量合計（電源属地別）[MW],64,559.069,1592.206,0,194,213.077,242.775,224,544.427,3633.554
20251001B05,合計（確報値）,応札件数（電源属地別）[件],2,4,23,1,2,5,6,4,24,71
20251001B05,合計（確報値）,約定件数（電源属地別）[件],2,4,22,0,2,4,6,4,18,62
20251001B05,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.49,16.47,19.51,0,4.31,5.41,19.51,0.77,19.51,19.51
20251001B05,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.72,1.98,0.36,0,4.2,1.09,0.36,0.36,0.36,0.36
20251001B05,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],10.88,2.98,2.32,0,4.24,4.52,1.04,0.47,1.69,2.51
20251001B05,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.49,19.49,19.51,5.41,4.31,5.41,19.51,0.77,19.51,19.51
20251001B05,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.72,0.36,0.36,0.36,4.2,1.09,0.36,0.36,0.36,0.36
20251001B05,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],10.72,2.28,2.64,4.49,4.24,4.1,1.22,0.47,1.74,2.51
20251001B05,合計（確報値）,約定量合計（TSO別）[MW],62.8,775.069,1365.406,84,180,145.477,316.784,224,480.018,3633.554
20251001B05,合計（確報値）,（内訳）自エリアからの約定量[MW],62.8,559.069,1365.406,0,180,145.477,242.775,224,480.018,3259.545
20251001B06,システム約定結果,募集量（TSO別）[MW],74,743,1206,236,120,330,303,235,601,3848
20251001B06,システム約定結果,応札量合計（電源属地別）[MW],55.59,709.069,1375.052,1.92,120,216.077,530.911,265,342.445,3616.064
20251001B06,システム約定結果,落札量合計（電源属地別）[MW],53.69,709.069,1375.052,1.92,120,213.077,520.354,221,341.936,3556.098
20251001B06,システム約定結果,応札件数（電源属地別）[件],4,5,22,1,1,5,12,4,14,68
20251001B06,システム約定結果,落札件数（電源属地別）[件],3,5,22,1,1,4,12,4,14,66
20251001B06,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.49,16.47,19.51,19.51,7.94,6.47,19.51,5.7,19.51,19.51
20251001B06,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],18.99,1.74,0.36,19.51,7.94,1.09,0.89,0.36,2.66,0.36
20251001B06,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],19.42,2.77,2.76,19.51,7.94,5.34,2.31,1.95,4.63,3.42
20251001B06,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.49,16.47,19.51,19.51,7.94,19.51,19.51,5.7,19.51,19.51
20251001B06,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.94,1.74,0.36,0.36,7.94,0.89,0.89,0.36,0.89,0.36
20251001B06,システム約定結果,平均落札価格（TSO別）[円/kW・30分],13.09,3,2.74,1.59,7.94,5.63,1.89,1.95,3.68,3.42
20251001B06,システム約定結果,落札量合計（TSO別）[MW],90.8,878.069,1079.587,171.92,115,242.477,220.8,221,536.445,3556.098
20251001B06,システム約定結果,（内訳）自エリアからの落札量[MW],53.69,709.069,1079.587,1.92,115,213.077,220.8,221,341.936,2956.079
20251001B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B06,合計（確報値）,募集量（TSO別）[MW],74,743,1206,236,120,330,303,235,601,3848
20251001B06,合計（確報値）,応札量合計（電源属地別）[MW],55.59,709.069,1451.152,1.92,120,216.077,601.891,265,343.745,3764.444
