H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,二次調整力2,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B11,落札量合計（TSO別）[MW],112,274,436.867,311.577,34,0,58.09,78,298.99,1603.524
20260801B11,（内訳）自エリアからの落札量[MW],112,274,436.867,311.577,0,0,58.09,78,298.99,1569.524
20260801B12,募集量（TSO別）[MW],70,174,0,132,34,0,0,28,96,534
20260801B12,応札量合計（電源属地別）[MW],100.64,312,1078.68,355.699,0,0,41.05,101,335.98,2325.049
20260801B12,落札量合計（電源属地別）[MW],99,255,883.702,226.298,0,0,41.05,78,154.98,1738.03
20260801B12,応札件数（電源属地別）[件],5,4,14,3,0,0,2,5,9,42
20260801B12,落札件数（電源属地別）[件],5,4,13,3,0,0,2,3,7,37
20260801B12,最高落札価格（電源属地別）[円/kW・30分],9.4,12.5,12.62,3.14,0,0,3.61,1.8,5.8,12.62
20260801B12,最低落札価格（電源属地別）[円/kW・30分],1.01,8.74,0.39,0.79,0,0,2.13,0.38,3.02,0.38
20260801B12,平均落札価格（電源属地別）[円/kW・30分],1.41,11.28,2.28,1.11,0,0,3.25,0.58,4.67,3.56
20260801B12,最高落札価格（TSO別）[円/kW・30分],9.4,12.5,12.62,3.37,10.81,0,3.61,1.8,5.8,12.62
20260801B12,最低落札価格（TSO別）[円/kW・30分],1.01,8.74,0.39,0.39,0.77,0,2.13,0.38,1.01,0.38
20260801B12,平均落札価格（TSO別）[円/kW・30分],1.41,11.28,2.09,1.57,7.13,0,3.15,0.58,3.86,3.56
20260801B12,落札量合計（TSO別）[MW],99,255,730,311,34,0,32.05,78,198.98,1738.03
20260801B12,（内訳）自エリアからの落札量[MW],99,255,730,226.298,0,0,32.05,78,154.98,1575.328
20260801B13,募集量（TSO別）[MW],71,271,0,190,45,28,7,52,194,858
20260801B13,応札量合計（電源属地別）[MW],71.14,312,1139.324,268.492,0,0,42.352,137,498.98,2469.288
20260801B13,落札量合計（電源属地別）[MW],71.14,255,1087.085,268.492,0,0,42.352,112,469.98,2306.049
20260801B13,応札件数（電源属地別）[件],4,4,13,3,0,0,2,5,9,40
20260801B13,落札件数（電源属地別）[件],4,4,13,3,0,0,2,3,9,38
20260801B13,最高落札価格（電源属地別）[円/kW・30分],5,14.07,14.48,4.59,0,0,3.03,1.8,3.9,14.48
20260801B13,最低落札価格（電源属地別）[円/kW・30分],1.01,9.83,0.39,1.9,0,0,2.13,0.38,0.43,0.38
20260801B13,平均落札価格（電源属地別）[円/kW・30分],1.21,12.61,2.93,2.68,0,0,2.82,0.51,1.42,3.49
20260801B13,最高落札価格（TSO別）[円/kW・30分],5,14.07,14.48,4.59,12.47,0.71,3.03,1.8,3.9,14.48
20260801B13,最低落札価格（TSO別）[円/kW・30分],1.01,0.76,0.39,0.39,0.71,0.71,0.43,0.38,0.43,0.38
20260801B13,平均落札価格（TSO別）[円/kW・30分],1.21,10.64,3.12,2.13,3.92,0.71,2.48,0.51,1.43,3.49
