H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B13,（内訳）自エリアからの落札量[MW],121.24,107.693,474.917,133.88,3.127,91.438,108,50,164.742,1255.037
20260801B14,募集量（TSO別）[MW],62,183,575,241,57,154,103,43,171,1589
20260801B14,応札量合計（電源属地別）[MW],186.558,104.228,532.917,130.259,3.127,91.438,146.438,191.858,175.092,1561.915
20260801B14,落札量合計（電源属地別）[MW],141,104.228,532.917,117.054,3.127,91.438,123.605,48,152.395,1313.764
20260801B14,応札件数（電源属地別）[件],9,18,68,49,2,17,20,9,36,228
20260801B14,落札件数（電源属地別）[件],6,18,68,42,2,17,8,3,25,189
20260801B14,最高落札価格（電源属地別）[円/kW・30分],10.15,15,14.31,13.44,10.5,13.85,3,1.8,4,15
20260801B14,最低落札価格（電源属地別）[円/kW・30分],0.98,5.85,0.39,7.11,8,1.44,1.46,0.36,0.74,0.36
20260801B14,平均落札価格（電源属地別）[円/kW・30分],2.36,12.37,4.46,9.73,9.54,6.05,1.7,0.64,2.7,4.85
20260801B14,最高落札価格（TSO別）[円/kW・30分],10.15,15,14.31,13.44,10.5,13.85,2.13,1.8,4,15
20260801B14,最低落札価格（TSO別）[円/kW・30分],0.98,5.85,0.39,7.11,8,1.44,1.51,0.36,0.74,0.36
20260801B14,平均落札価格（TSO別）[円/kW・30分],2.36,12.37,4.46,9.73,9.54,6.05,1.58,0.64,2.67,4.85
20260801B14,落札量合計（TSO別）[MW],141,104.228,532.917,117.054,3.127,91.438,105,48,171,1313.764
20260801B14,（内訳）自エリアからの落札量[MW],141,104.228,532.917,117.054,3.127,91.438,105,48,152.395,1295.159
20260801B15,募集量（TSO別）[MW],62,188,582,244,58,158,104,44,172,1612
20260801B15,応札量合計（電源属地別）[MW],160.558,127.728,426.817,132.187,3.127,91.438,115.43,191.858,173.102,1422.245
