H,連系線確保量,対象年月,ブロック数,市場種別
P,速報値,202605,48,DCM
T,順方向元エリア,逆方向元エリア,DCM：連系線確保量上限値（順方向）[MW],DCM：連系線確保量上限値（逆方向）[MW],DCM：連系線確保量（順方向）[MW],DCM：連系線確保量（逆方向）[MW]
20260501B25,中国,九州,180,0,9.936,0
20260501B26,北海道,東北,0,75,0,72
20260501B26,東北,東京,0,2360,0,316
20260501B26,東京,中部,0,0,0,0
20260501B26,中部関西,北陸,1904.332,1399.691,83.752,0
20260501B26,中部,北陸関西,554.688,0,83.752,0
20260501B26,中部北陸,関西,0,0,0,0
20260501B26,関西,中国,4600,0,0,0
20260501B26,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B26,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B26,関西,四国,0,0,0,0
20260501B26,中国,四国,1200,0,0,0
20260501B26,中国,九州,190,0,0,0
20260501B27,北海道,東北,0,75,0,75
20260501B27,東北,東京,260.324,2360,260.324,316
20260501B27,東京,中部,0,0,0,0
20260501B27,中部関西,北陸,1883.132,1420.891,129.014,0
20260501B27,中部,北陸関西,554.688,0,129.014,0
20260501B27,中部北陸,関西,0,0,0,0
20260501B27,関西,中国,4600,0,0,0
20260501B27,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B27,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B27,関西,四国,0,0,0,0
20260501B27,中国,四国,1200,0,0,0
20260501B27,中国,九州,190,0,61,0
20260501B28,北海道,東北,0,75,0,75
20260501B28,東北,東京,305.824,2360,294.71,329.344
20260501B28,東京,中部,0,0,0,0
20260501B28,中部関西,北陸,1870.132,1433.891,129.48,0
20260501B28,中部,北陸関西,554.688,0,129.48,0
20260501B28,中部北陸,関西,0,0,0,0
20260501B28,関西,中国,4600,0,0,0
20260501B28,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B28,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B28,関西,四国,0,0,0,0
20260501B28,中国,四国,1200,0,0,0
20260501B28,中国,九州,180,0,0,0
20260501B29,北海道,東北,0,75,0,75
20260501B29,東北,東京,130.324,2360,130.324,490.344
20260501B29,東京,中部,0,0,0,0
20260501B29,中部関西,北陸,1885.432,1418.591,115.832,0
20260501B29,中部,北陸関西,554.688,0,115.832,0
20260501B29,中部北陸,関西,0,0,0,0
20260501B29,関西,中国,4600,0,0,0
20260501B29,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B29,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B29,関西,四国,0,0,0,0
20260501B29,中国,四国,1200,0,0,0
20260501B29,中国,九州,180,0,9.936,0
20260501B30,北海道,東北,0,75,0,74
20260501B30,東北,東京,838.624,2360,74,325
20260501B30,東京,中部,0,0,0,0
20260501B30,中部関西,北陸,1838.832,1465.191,65.224,0
20260501B30,中部,北陸関西,554.688,0,65.224,0
20260501B30,中部北陸,関西,0,0,0,0
20260501B30,関西,中国,4600,0,0,0
20260501B30,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B30,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B30,関西,四国,0,0,0,0
20260501B30,中国,四国,1200,0,0,0
20260501B30,中国,九州,180,0,0,0
20260501B31,北海道,東北,0,75,0,0
20260501B31,東北,東京,232.847,2360,0,244
20260501B31,東京,中部,399.108,0,263.353,0
20260501B31,中部関西,北陸,1931.394,1611.17,98.058,0
20260501B31,中部,北陸関西,970,0,585.904,0
20260501B31,中部北陸,関西,487.846,0,487.846,0
20260501B31,関西,中国,4600,0,250.642,0
20260501B31,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,197.673,0
20260501B31,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,250.642,0
20260501B31,関西,四国,0,0,0,0
20260501B31,中国,四国,1200,52.969,0,52.969
20260501B31,中国,九州,260,0,134,0
20260501B32,北海道,東北,0,75,0,0
20260501B32,東北,東京,481.147,2360,0,327.802
20260501B32,東京,中部,399.108,0,132.782,0
20260501B32,中部関西,北陸,1955.194,1587.37,93.585,0
20260501B32,中部,北陸関西,970,0,426.382,0
20260501B32,中部北陸,関西,464.046,0,332.797,0
20260501B32,関西,中国,4600,0,126.935,0
20260501B32,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,60.462,0
20260501B32,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,126.935,0
20260501B32,関西,四国,0,0,0,0
20260501B32,中国,四国,1200,319.869,0,66.473
20260501B32,中国,九州,340,0,0,0
20260501B33,北海道,東北,0,75,0,0
20260501B33,東北,東京,542.147,2360,0,253.408
20260501B33,東京,中部,399.108,0,341.232,0
20260501B33,中部関西,北陸,2029.594,1512.97,52.966,0
20260501B33,中部,北陸関西,970,0,424.432,0
20260501B33,中部北陸,関西,389.646,0,371.466,0
20260501B33,関西,中国,4600,0,143.479,0
20260501B33,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,74.006,0
20260501B33,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,143.479,0
20260501B33,関西,四国,0,0,0,0
20260501B33,中国,四国,1200,366.169,0,69.473
20260501B33,中国,九州,380,0,0,0
20260501B34,北海道,東北,75,5.273,0,5.273
20260501B34,東北,東京,439.347,2360,0,495.273
20260501B34,東京,中部,399.108,0,0,0
20260501B34,中部関西,北陸,2216.094,1326.47,153.758,0
20260501B34,中部,北陸関西,970,0,356.904,0
20260501B34,中部北陸,関西,203.146,0,203.146,0
20260501B34,関西,中国,4600,0,88.119,0
20260501B34,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,25.55,0
20260501B34,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,88.119,0
20260501B34,関西,四国,0,0,0,0
20260501B34,中国,四国,1200,62.569,0,62.569
20260501B34,中国,九州,420,0,14.687,0
20260501B35,北海道,東北,75,0,0,0
20260501B35,東北,東京,98.947,2360,0,488
20260501B35,東京,中部,399.108,0,25.984,0
20260501B35,中部関西,北陸,2228.694,1313.87,149.594,0
20260501B35,中部,北陸関西,970,0,340.14,0
20260501B35,中部北陸,関西,190.546,0,190.546,0
20260501B35,関西,中国,4600,0,58.653,0
20260501B35,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,38.784,0
20260501B35,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,58.653,0
20260501B35,関西,四国,0,0,0,0
