H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B16,平均落札価格（電源属地別）[円/kW・30分],12.6,4.22,3.76,2.23,3.96,13.08,6.92,3.42,4.55,5.79
20260314B16,最高落札価格（TSO別）[円/kW・30分],15,15,15,15,3.96,15,14.6,7.16,15,15
20260314B16,最低落札価格（TSO別）[円/kW・30分],2.98,3.57,0.36,0.36,3.96,6.98,0.36,0.37,3.73,0.36
20260314B16,平均落札価格（TSO別）[円/kW・30分],12.6,4.22,3.76,2.23,3.96,13.08,6.92,3.42,4.55,5.79
20260314B16,落札量合計（TSO別）[MW],128,43.35,263.1,76,19,7.826,241.914,64,109.25,952.44
20260314B16,（内訳）自エリアからの落札量[MW],128,43.35,263.1,76,19,7.826,241.914,64,109.25,952.44
20260314B17,募集量（TSO別）[MW],10,216,498,76,65,288,150,46,168,1517
20260314B17,応札量合計（電源属地別）[MW],136.918,43.35,292.868,73.58,19,27.441,45.495,71.473,109.25,819.375
20260314B17,落札量合計（電源属地別）[MW],127,43.35,292.868,73.58,19,27.441,45.495,46,109.25,783.984
20260314B17,応札件数（電源属地別）[件],7,3,38,14,1,5,6,5,8,87
20260314B17,落札件数（電源属地別）[件],7,3,38,14,1,5,6,2,8,84
20260314B17,最高落札価格（電源属地別）[円/kW・30分],15,15,15,15,1.93,15,15,4.77,15,15
20260314B17,最低落札価格（電源属地別）[円/kW・30分],2.98,3.54,0.36,0.36,1.93,0.36,0.36,0.35,1,0.35
20260314B17,平均落札価格（電源属地別）[円/kW・30分],12.63,4.19,2.48,4.3,1.93,3.85,2.1,2.46,2.04,4.34
20260314B17,最高落札価格（TSO別）[円/kW・30分],15,15,15,15,1.93,15,15,4.77,15,15
20260314B17,最低落札価格（TSO別）[円/kW・30分],2.98,3.54,0.36,0.36,1.93,0.36,0.36,0.35,1,0.35
20260314B17,平均落札価格（TSO別）[円/kW・30分],12.63,4.19,2.48,4.3,1.93,3.85,2.1,2.46,2.04,4.34
20260314B17,落札量合計（TSO別）[MW],127,43.35,292.868,73.58,19,27.441,45.495,46,109.25,783.984
20260314B17,（内訳）自エリアからの落札量[MW],127,43.35,292.868,73.58,19,27.441,45.495,46,109.25,783.984
20260314B18,募集量（TSO別）[MW],10,216,498,76,65,288,150,46,168,1517
20260314B18,応札量合計（電源属地別）[MW],180.918,43.35,292.868,73.58,19,27.441,129.03,63.473,109.25,938.91
20260314B18,落札量合計（電源属地別）[MW],50,43.35,292.868,73.58,19,27.441,129.03,46,109.25,790.519
20260314B18,応札件数（電源属地別）[件],9,3,38,14,1,5,7,5,8,90
20260314B18,落札件数（電源属地別）[件],5,3,38,14,1,5,7,2,8,83
20260314B18,最高落札価格（電源属地別）[円/kW・30分],4,15,15,15,0.36,15,15,4.77,15,15
20260314B18,最低落札価格（電源属地別）[円/kW・30分],0.36,4.07,0.36,0.36,0.36,0.36,0.36,0.35,0.64,0.35
20260314B18,平均落札価格（電源属地別）[円/kW・30分],0.72,4.65,2.88,4.39,0.36,3.72,1.23,3.23,1.73,2.54
20260314B18,最高落札価格（TSO別）[円/kW・30分],4,15,15,15,0.36,15,15,4.77,15,15
20260314B18,最低落札価格（TSO別）[円/kW・30分],0.36,4.07,0.36,0.36,0.36,0.36,0.36,0.35,0.64,0.35
20260314B18,平均落札価格（TSO別）[円/kW・30分],0.72,4.65,2.88,4.39,0.36,3.72,1.23,3.23,1.73,2.54
20260314B18,落札量合計（TSO別）[MW],50,43.35,292.868,73.58,19,27.441,129.03,46,109.25,790.519
20260314B18,（内訳）自エリアからの落札量[MW],50,43.35,292.868,73.58,19,27.441,129.03,46,109.25,790.519
20260314B19,募集量（TSO別）[MW],11,146,489,79,66,284,152,47,175,1449
20260314B19,応札量合計（電源属地別）[MW],151.908,22,276.741,55.367,104.342,22.826,45.495,60.473,13.078,752.23
20260314B19,落札量合計（電源属地別）[MW],140,22,276.741,55.367,98,22.826,45.495,47,13.078,720.507
20260314B19,応札件数（電源属地別）[件],7,1,38,13,4,5,6,4,7,85
20260314B19,落札件数（電源属地別）[件],6,1,38,13,4,5,6,2,7,82
20260314B19,最高落札価格（電源属地別）[円/kW・30分],15,4.92,15,15,0.36,15,15,4.77,15,15
20260314B19,最低落札価格（電源属地別）[円/kW・30分],0.36,4.92,0.36,0.36,0.36,0.36,0.36,0.35,9.99,0.35
20260314B19,平均落札価格（電源属地別）[円/kW・30分],9.71,4.92,3.22,5.59,0.36,5.3,2.1,3.27,13.15,4.5
20260314B19,最高落札価格（TSO別）[円/kW・30分],15,4.92,15,15,0.36,15,15,4.77,15,15
