H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202601,一次調整力,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260101B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,合計（確報値）,募集量（TSO別）[MW],11,167,353,0,85,240,244,82,278,1460
20260101B05,合計（確報値）,応札量合計（電源属地別）[MW],142.75,48.52,78.415,7.718,110,201.509,160.27,27.93,21.17,798.282
20260101B05,合計（確報値）,約定量合計（電源属地別）[MW],30,48.52,78.415,0,60,201.509,160.27,16.93,21.17,616.814
20260101B05,合計（確報値）,応札件数（電源属地別）[件],5,4,29,4,4,8,7,3,8,72
20260101B05,合計（確報値）,約定件数（電源属地別）[件],2,4,29,0,2,8,7,2,8,62
20260101B05,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.3,6.92,11.25,0,0.35,2.39,0.69,9.69,10.46,3.8
20260101B05,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.36,0.36,0.55,0.36,0.35
20260101B05,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.3,6.92,11.25,0,0.35,3.52,0.69,4.98,5.18,3.8
20260101B05,合計（確報値）,約定量合計（TSO別）[MW],30,48.52,78.415,0,60,124.796,195.8,34.93,44.353,616.814
20260101B05,合計（確報値）,（内訳）自エリアからの約定量[MW],30,48.52,78.415,0,60,124.796,137.087,16.93,21.17,516.918
20260101B06,システム約定結果,募集量（TSO別）[MW],36,196,489,191,98,280,245,63,249,1847
20260101B06,システム約定結果,応札量合計（電源属地別）[MW],168.99,84.52,78.415,9.708,35,205.467,140.105,61.93,21.17,805.305
20260101B06,システム約定結果,落札量合計（電源属地別）[MW],56,84.52,78.415,9.708,35,205.467,140.105,61.93,21.17,692.315
20260101B06,システム約定結果,応札件数（電源属地別）[件],6,7,29,5,1,10,6,5,8,77
20260101B06,システム約定結果,落札件数（電源属地別）[件],3,7,29,5,1,10,6,5,8,74
20260101B06,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260101B06,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.91,1.43,0.36,19.47,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],7.28,5.13,11.25,19.49,0.77,3.44,1.13,3.61,10.46,4.69
20260101B06,システム約定結果,最高落札価格（TSO別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260101B06,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.91,1.43,0.36,19.47,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,システム約定結果,平均落札価格（TSO別）[円/kW・30分],7.28,5.13,11.25,19.49,0.77,3.82,1.33,3.61,6.69,4.69
20260101B06,システム約定結果,落札量合計（TSO別）[MW],56,84.52,78.415,9.708,35,156.041,171.531,61.93,39.17,692.315
20260101B06,システム約定結果,（内訳）自エリアからの落札量[MW],56,84.52,78.415,9.708,35,156.041,140.105,61.93,21.17,642.889
20260101B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
